year_month,product_category_name,total_quantity,total_sales,average_price
2017-02,bebes,34,3048.48,89.66117647058823
2017-02,beleza_saude,166,22838.79,137.58307228915663
2017-02,brinquedos,67,9403.34,140.34835820895523
2017-02,cama_mesa_banho,165,16282.73,98.68321212121212
2017-02,casa_conforto,3,414.66,138.22
2017-02,casa_construcao,4,695.6,173.9
2017-02,cine_foto,1,59.0,59.0
2017-02,climatizacao,12,3095.3,257.94166666666666
2017-02,consoles_games,18,4294.7699999999995,238.5983333333333
2017-02,construcao_ferramentas_construcao,3,336.79,112.26333333333334
2017-02,construcao_ferramentas_jardim,2,579.98,289.99
2017-02,construcao_ferramentas_seguranca,1,379.0,379.0
2017-02,cool_stuff,70,13323.6,190.33714285714285
2017-02,dvds_blu_ray,1,14.9,14.9
2017-02,eletrodomesticos,7,740.9,105.84285714285714
2017-02,eletrodomesticos_2,1,15.99,15.99
2017-02,eletronicos,19,1218.85,64.14999999999999
2017-02,eletroportateis,28,7251.58,258.985
2017-02,esporte_lazer,156,16372.16,104.94974358974359
2017-02,fashion_bolsas_e_acessorios,39,2374.11,60.87461538461539
2017-02,fashion_calcados,3,107.05,35.68333333333333
2017-02,fashion_roupa_feminina,4,457.8,114.45
2017-02,fashion_roupa_masculina,7,642.85,91.83571428571429
2017-02,fashion_underwear_e_moda_praia,8,396.97,49.62125
2017-02,ferramentas_jardim,72,13144.61,182.5640277777778
2017-02,industria_comercio_e_negocios,1,119.0,119.0
2017-02,informatica_acessorios,106,11972.59,112.94896226415095
2017-02,instrumentos_musicais,9,2221.28,246.8088888888889
2017-02,livros_importados,1,99.0,99.0
2017-02,livros_interesse_geral,8,772.71,96.58875
2017-02,livros_tecnicos,1,159.0,159.0
2017-02,malas_acessorios,21,1694.18,80.6752380952381
2017-02,market_place,22,1688.22,76.73727272727272
2017-02,moveis_cozinha_area_de_servico_jantar_e_jardim,2,139.9,69.95
2017-02,moveis_decoracao,266,20986.1,78.89511278195488
2017-02,moveis_escritorio,63,11805.98,187.39650793650793
2017-02,moveis_quarto,1,450.0,450.0
2017-02,moveis_sala,24,3791.63,157.98458333333335
2017-02,papelaria,19,2341.4,123.23157894736842
2017-02,pcs,1,3549.0,3549.0
2017-02,perfumaria,51,8127.179999999999,159.35647058823528
2017-02,pet_shop,40,3729.07,93.22675000000001
2017-02,relogios_presentes,37,11756.21,317.7354054054054
2017-02,tablets_impressao_imagem,8,792.0,99.0
2017-02,telefonia,111,6899.09,62.15396396396397
2017-02,telefonia_fixa,22,759.23,34.51045454545454
2017-02,utilidades_domesticas,81,12659.67,156.29222222222222
2017-03,Unknown,63,6714.17,106.57412698412699
2017-03,agro_industria_e_comercio,2,81.99000000000001,40.995000000000005
2017-03,alimentos,24,2667.56,111.14833333333333
2017-03,alimentos_bebidas,5,110.8,22.16
2017-03,artes,5,223.25,44.65
2017-03,audio,14,1134.77,81.05499999999999
2017-03,automotivo,87,14482.07,166.46057471264368
2017-03,bebes,44,3724.08,84.63818181818182
2017-03,bebidas,5,463.87,92.774
2017-03,beleza_saude,211,25995.25,123.20023696682465
2017-03,brinquedos,103,12429.47,120.67446601941747
2017-03,cama_mesa_banho,289,25773.02,89.18
2017-03,casa_conforto,13,2123.4,163.33846153846156
2017-03,casa_conforto_2,3,342.88,114.29333333333334
2017-03,casa_construcao,10,591.96,59.196000000000005
2017-03,climatizacao,17,4103.81,241.40058823529415
2017-03,consoles_games,50,10768.84,215.3768
2017-03,construcao_ferramentas_construcao,4,773.4,193.35
2017-03,construcao_ferramentas_seguranca,2,380.0,190.0
2017-03,cool_stuff,123,21095.21,171.50577235772357
2017-03,dvds_blu_ray,5,1873.7,374.74
2017-03,eletrodomesticos,10,313.3,31.330000000000002
2017-03,eletrodomesticos_2,2,500.9,250.45
2017-03,eletronicos,37,3986.0,107.72972972972973
2017-03,eletroportateis,31,11171.06,360.35677419354835
2017-03,esporte_lazer,199,27001.59,135.68638190954775
2017-03,fashion_bolsas_e_acessorios,68,4861.16,71.48764705882353
2017-03,fashion_calcados,14,1515.0,108.21428571428571
2017-03,fashion_esporte,1,39.9,39.9
2017-03,fashion_roupa_feminina,1,19.9,19.9
2017-03,fashion_roupa_masculina,9,580.8,64.53333333333333
2017-03,fashion_underwear_e_moda_praia,6,394.14,65.69
2017-03,ferramentas_jardim,150,23747.15,158.31433333333334
2017-03,industria_comercio_e_negocios,2,238.0,119.0
2017-03,informatica_acessorios,174,28624.6,164.50919540229884
2017-03,instrumentos_musicais,10,1667.33,166.733
2017-03,livros_interesse_geral,25,2648.96,105.9584
2017-03,livros_tecnicos,2,75.0,37.5
2017-03,malas_acessorios,38,5924.01,155.895
2017-03,market_place,17,1808.59,106.38764705882352
2017-03,moveis_cozinha_area_de_servico_jantar_e_jardim,3,113.98,37.99333333333333
2017-03,moveis_decoracao,328,23477.63,71.57814024390244
2017-03,moveis_escritorio,78,11783.51,151.07064102564104
2017-03,moveis_sala,24,3324.0,138.5
2017-03,musica,1,27.99,27.99
2017-03,papelaria,56,5902.62,105.40392857142857
2017-03,perfumaria,106,19808.13,186.86915094339625
2017-03,pet_shop,45,8369.960000000001,185.99911111111112
2017-03,relogios_presentes,81,26770.38,330.49851851851855
2017-03,sinalizacao_e_seguranca,1,75.0,75.0
2017-03,tablets_impressao_imagem,5,495.0,99.0
2017-03,telefonia,172,8121.05,47.215406976744184
2017-03,telefonia_fixa,21,1592.3500000000001,75.82619047619048
2017-03,utilidades_domesticas,204,13511.81,66.23436274509804
2017-04,Unknown,71,8693.09,122.43788732394367
2017-04,alimentos,8,491.3,61.4125
2017-04,alimentos_bebidas,3,47.9,15.966666666666667
2017-04,artes,1,119.9,119.9
2017-04,artigos_de_natal,1,69.0,69.0
2017-04,audio,11,942.2,85.65454545454546
2017-04,automotivo,88,15548.17,176.68375
2017-04,bebes,51,3980.4500000000003,78.04803921568627
2017-04,bebidas,7,199.93,28.56142857142857
2017-04,beleza_saude,189,22935.75,121.35317460317461
2017-04,brinquedos,113,13039.43,115.39318584070797
2017-04,cama_mesa_banho,274,24347.690000000002,88.86018248175183
2017-04,casa_conforto,17,2411.1,141.82941176470587
2017-04,casa_conforto_2,1,12.9,12.9
2017-04,casa_construcao,5,1602.69,320.538
2017-04,cine_foto,2,118.0,59.0
2017-04,climatizacao,16,2582.23,161.389375
2017-04,consoles_games,17,3772.88,221.93411764705883
2017-04,construcao_ferramentas_ferramentas,1,729.0,729.0
2017-04,construcao_ferramentas_jardim,8,1490.21,186.27625
2017-04,cool_stuff,121,21822.08,180.34776859504134
2017-04,dvds_blu_ray,2,1434.9,717.45
2017-04,eletrodomesticos,10,499.4,49.94
2017-04,eletrodomesticos_2,2,799.8,399.9
2017-04,eletronicos,48,4822.24,100.46333333333332
2017-04,eletroportateis,21,23253.98,1107.3323809523808
2017-04,esporte_lazer,218,24864.33,114.05655963302753
2017-04,fashion_bolsas_e_acessorios,50,3219.8,64.396
2017-04,fashion_calcados,23,1526.5,66.3695652173913
2017-04,fashion_esporte,4,189.77999999999997,47.44499999999999
2017-04,fashion_roupa_feminina,1,64.9,64.9
2017-04,fashion_roupa_masculina,7,416.69,59.527142857142856
2017-04,fashion_underwear_e_moda_praia,4,98.78999999999999,24.697499999999998
2017-04,ferramentas_jardim,119,20809.28,174.86789915966386
2017-04,informatica_acessorios,136,20691.06,152.14014705882354
2017-04,instrumentos_musicais,16,3818.43,238.651875
2017-04,la_cuisine,1,24.0,24.0
2017-04,livros_importados,1,19.99,19.99
2017-04,livros_interesse_geral,12,923.38,76.94833333333334
2017-04,livros_tecnicos,1,75.0,75.0
2017-04,malas_acessorios,49,7150.2,145.92244897959182
2017-04,market_place,20,4090.18,204.509
2017-04,moveis_colchao_e_estofado,1,109.4,109.4
2017-04,moveis_cozinha_area_de_servico_jantar_e_jardim,9,1033.4,114.82222222222224
2017-04,moveis_decoracao,203,21690.420000000002,106.84935960591135
2017-04,moveis_escritorio,58,9411.3,162.26379310344825
2017-04,moveis_quarto,5,858.96,171.792
2017-04,moveis_sala,12,2073.34,172.77833333333334
2017-04,musica,2,59.8,29.9
2017-04,papelaria,36,4606.34,127.9538888888889
2017-04,pc_gamer,2,259.98,129.99
2017-04,perfumaria,105,19891.11,189.43914285714285
2017-04,pet_shop,51,6182.89,121.23313725490196
2017-04,relogios_presentes,97,23487.78,242.14206185567008
2017-04,sinalizacao_e_seguranca,3,128.06,42.68666666666667
2017-04,tablets_impressao_imagem,11,1112.88,101.1709090909091
2017-04,telefonia,145,7245.87,49.97151724137931
2017-04,telefonia_fixa,11,2998.33,272.57545454545453
2017-04,utilidades_domesticas,183,15028.84,82.1248087431694
2017-05,Unknown,96,10961.94,114.186875
2017-05,agro_industria_e_comercio,4,1579.94,394.985
2017-05,alimentos,3,387.9,129.29999999999998
2017-05,alimentos_bebidas,17,416.28999999999996,24.487647058823526
2017-05,artes,8,6967.65,870.95625
2017-05,artes_e_artesanato,1,21.99,21.99
2017-05,audio,17,2081.18,122.42235294117646
2017-05,automotivo,125,18640.03,149.12024
2017-05,bebes,108,9849.51,91.19916666666667
2017-05,bebidas,1,90.0,90.0
2017-05,beleza_saude,290,46786.02,161.33110344827585
2017-05,brinquedos,200,22626.95,113.13475
2017-05,cama_mesa_banho,369,33346.45,90.36978319783196
2017-05,casa_conforto,37,5293.87,143.07756756756757
2017-05,casa_construcao,7,1620.5,231.5
2017-05,cine_foto,1,59.0,59.0
2017-05,climatizacao,8,1016.77,127.09625
2017-05,consoles_games,29,2507.2,86.4551724137931
2017-05,construcao_ferramentas_construcao,1,99.99,99.99
2017-05,construcao_ferramentas_ferramentas,2,803.9,401.95
2017-05,construcao_ferramentas_jardim,8,1577.24,197.155
2017-05,cool_stuff,247,33696.47,136.42295546558705
2017-05,dvds_blu_ray,4,89.6,22.4
2017-05,eletrodomesticos,28,1912.79,68.31392857142858
2017-05,eletrodomesticos_2,9,3093.04,343.6711111111111
2017-05,eletronicos,68,6709.11,98.66338235294117
2017-05,eletroportateis,18,5241.44,291.19111111111107
2017-05,esporte_lazer,316,36163.5,114.44145569620254
2017-05,fashion_bolsas_e_acessorios,110,7498.67,68.16972727272727
2017-05,fashion_calcados,22,1669.54,75.88818181818182
2017-05,fashion_esporte,3,124.84,41.61333333333334
2017-05,fashion_roupa_feminina,5,422.40000000000003,84.48
2017-05,fashion_roupa_infanto_juvenil,1,110.0,110.0
2017-05,fashion_roupa_masculina,4,608.9,152.225
2017-05,fashion_underwear_e_moda_praia,7,283.5,40.5
2017-05,ferramentas_jardim,141,20693.46,146.76212765957447
2017-05,industria_comercio_e_negocios,2,519.8,259.9
2017-05,informatica_acessorios,320,45634.78,142.6086875
2017-05,instrumentos_musicais,21,10019.43,477.1157142857143
2017-05,la_cuisine,1,193.0,193.0
2017-05,livros_interesse_geral,20,1841.57,92.07849999999999
2017-05,livros_tecnicos,3,262.0,87.33333333333333
2017-05,malas_acessorios,70,12539.62,179.1374285714286
2017-05,market_place,22,2476.98,112.59
2017-05,moveis_colchao_e_estofado,3,595.89,198.63
2017-05,moveis_cozinha_area_de_servico_jantar_e_jardim,9,1304.48,144.94222222222223
2017-05,moveis_decoracao,279,24028.510000000002,86.12369175627241
2017-05,moveis_escritorio,56,8403.43,150.06125
2017-05,moveis_quarto,9,2369.97,263.33
2017-05,moveis_sala,34,4929.43,144.98323529411766
2017-05,papelaria,66,6049.9800000000005,91.66636363636364
2017-05,pc_gamer,1,129.99,129.99
2017-05,perfumaria,145,20119.04,138.752
2017-05,pet_shop,73,8151.0199999999995,111.65780821917808
2017-05,relogios_presentes,135,37973.9,281.28814814814814
2017-05,sinalizacao_e_seguranca,4,508.85,127.2125
2017-05,tablets_impressao_imagem,7,1514.98,216.4257142857143
2017-05,telefonia,224,9264.1,41.35758928571429
2017-05,telefonia_fixa,10,462.33000000000004,46.233000000000004
2017-05,utilidades_domesticas,307,21726.48,70.77029315960912
2017-06,Unknown,63,5527.79,87.74269841269842
2017-06,agro_industria_e_comercio,1,1390.0,1390.0
2017-06,alimentos,1,149.9,149.9
2017-06,alimentos_bebidas,2,57.4,28.7
2017-06,artes,10,421.7,42.17
2017-06,artigos_de_natal,3,184.7,61.56666666666666
2017-06,audio,11,1671.0,151.9090909090909
2017-06,automotivo,112,31370.69,280.0954464285714
2017-06,bebes,78,7864.74,100.83
2017-06,bebidas,1,49.99,49.99
2017-06,beleza_saude,260,32029.39,123.18996153846153
2017-06,brinquedos,158,15476.35,97.95158227848101
2017-06,cama_mesa_banho,382,35114.81,91.92358638743455
2017-06,casa_conforto,18,3056.19,169.78833333333333
2017-06,casa_conforto_2,1,12.9,12.9
2017-06,casa_construcao,8,1992.3,249.0375
2017-06,cine_foto,1,79.0,79.0
2017-06,climatizacao,11,2084.48,189.49818181818182
2017-06,consoles_games,30,5389.02,179.63400000000001
2017-06,construcao_ferramentas_construcao,8,376.37,47.04625
2017-06,construcao_ferramentas_jardim,4,434.69,108.6725
2017-06,cool_stuff,201,38244.5,190.27114427860695
2017-06,dvds_blu_ray,4,126.69,31.6725
2017-06,eletrodomesticos,43,2507.19,58.306744186046515
2017-06,eletrodomesticos_2,6,1213.87,202.31166666666664
2017-06,eletronicos,42,2100.04,50.00095238095238
2017-06,eletroportateis,23,9698.81,421.6873913043478
2017-06,esporte_lazer,277,32898.33,118.7665342960289
2017-06,fashion_bolsas_e_acessorios,83,6831.03,82.30156626506023
2017-06,fashion_calcados,20,1351.1999999999998,67.55999999999999
2017-06,fashion_esporte,6,495.49,82.58166666666666
2017-06,fashion_roupa_feminina,3,154.8,51.6
2017-06,fashion_roupa_infanto_juvenil,1,110.0,110.0
2017-06,fashion_roupa_masculina,10,569.69,56.96900000000001
2017-06,fashion_underwear_e_moda_praia,1,3.9,3.9
2017-06,ferramentas_jardim,114,15851.17,139.045350877193
2017-06,industria_comercio_e_negocios,2,276.97,138.485
2017-06,informatica_acessorios,261,37007.08,141.7895785440613
2017-06,instrumentos_musicais,20,4993.05,249.6525
2017-06,livros_importados,2,99.0,49.5
2017-06,livros_interesse_geral,21,1940.0800000000002,92.38476190476192
2017-06,livros_tecnicos,2,145.9,72.95
2017-06,malas_acessorios,61,8232.09,134.9522950819672
2017-06,market_place,16,1258.95,78.684375
2017-06,moveis_cozinha_area_de_servico_jantar_e_jardim,4,374.8,93.7
2017-06,moveis_decoracao,233,16943.58,72.71922746781117
2017-06,moveis_escritorio,50,7279.13,145.5826
2017-06,moveis_quarto,2,308.99,154.495
2017-06,moveis_sala,15,1713.3,114.22
2017-06,musica,4,1066.9,266.725
2017-06,papelaria,38,3493.57,91.93605263157895
2017-06,pc_gamer,1,129.99,129.99
2017-06,perfumaria,154,24438.1,158.68896103896103
2017-06,pet_shop,64,5243.57,81.93078125
2017-06,portateis_casa_forno_e_cafe,1,71.9,71.9
2017-06,relogios_presentes,124,28948.63,233.4566935483871
2017-06,sinalizacao_e_seguranca,2,273.9,136.95
2017-06,tablets_impressao_imagem,6,594.0,99.0
2017-06,telefonia,160,6757.62,42.235125
2017-06,telefonia_fixa,12,933.6700000000001,77.80583333333334
2017-06,utilidades_domesticas,331,23623.71,71.3707250755287
2017-07,Unknown,61,3124.66,51.223934426229505
2017-07,agro_industria_e_comercio,1,1180.0,1180.0
2017-07,alimentos,7,584.1600000000001,83.45142857142858
2017-07,alimentos_bebidas,8,168.2,21.025
2017-07,artes,3,386.75,128.91666666666666
2017-07,artes_e_artesanato,1,129.9,129.9
2017-07,artigos_de_festas,1,69.9,69.9
2017-07,artigos_de_natal,2,65.09,32.545
2017-07,audio,7,771.69,110.24142857142859
2017-07,automotivo,117,14119.74,120.68153846153847
2017-07,bebes,129,15941.11,123.57449612403101
2017-07,bebidas,3,273.97,91.32333333333334
2017-07,beleza_saude,316,34896.86,110.43310126582278
2017-07,brinquedos,207,24511.72,118.41410628019324
2017-07,cama_mesa_banho,579,63888.75,110.34326424870466
2017-07,casa_conforto,43,4563.85,106.13604651162791
2017-07,casa_conforto_2,1,12.9,12.9
2017-07,casa_construcao,2,93.6,46.8
2017-07,cds_dvds_musicais,5,225.0,45.0
2017-07,climatizacao,5,1396.1,279.21999999999997
2017-07,consoles_games,48,5680.16,118.33666666666666
2017-07,construcao_ferramentas_construcao,6,549.4399999999999,91.57333333333332
2017-07,construcao_ferramentas_iluminacao,1,360.0,360.0
2017-07,construcao_ferramentas_jardim,8,347.58000000000004,43.447500000000005
2017-07,cool_stuff,230,37506.76,163.0728695652174
2017-07,dvds_blu_ray,4,749.6999999999999,187.42499999999998
2017-07,eletrodomesticos,37,3671.99,99.24297297297296
2017-07,eletrodomesticos_2,7,1033.99,147.71285714285713
2017-07,eletronicos,97,7346.84,75.74061855670104
2017-07,eletroportateis,34,4621.36,135.92235294117646
2017-07,esporte_lazer,387,38813.41,100.29304909560724
2017-07,fashion_bolsas_e_acessorios,88,5193.1,59.0125
2017-07,fashion_calcados,20,1423.01,71.1505
2017-07,fashion_esporte,1,69.9,69.9
2017-07,fashion_roupa_feminina,4,310.70000000000005,77.67500000000001
2017-07,fashion_roupa_masculina,9,719.99,79.99888888888889
2017-07,fashion_underwear_e_moda_praia,3,274.8,91.60000000000001
2017-07,ferramentas_jardim,190,20067.05,105.61605263157894
2017-07,industria_comercio_e_negocios,2,245.95999999999998,122.97999999999999
2017-07,informatica_acessorios,326,38709.0,118.73926380368098
2017-07,instrumentos_musicais,32,8411.59,262.8621875
2017-07,la_cuisine,4,469.99,117.4975
2017-07,livros_interesse_geral,13,1292.4,99.41538461538462
2017-07,livros_tecnicos,2,528.0,264.0
2017-07,malas_acessorios,74,8357.61,112.94067567567568
2017-07,market_place,13,1573.3799999999999,121.02923076923076
2017-07,moveis_colchao_e_estofado,1,109.4,109.4
2017-07,moveis_cozinha_area_de_servico_jantar_e_jardim,11,1316.5,119.68181818181819
2017-07,moveis_decoracao,320,24751.920000000002,77.34975
2017-07,moveis_escritorio,115,16892.61,146.89226086956523
2017-07,moveis_quarto,5,1206.99,241.398
2017-07,moveis_sala,31,4395.12,141.77806451612904
2017-07,musica,1,329.0,329.0
2017-07,papelaria,80,7091.75,88.646875
2017-07,perfumaria,126,12910.02,102.4604761904762
2017-07,pet_shop,86,6605.87,76.81244186046511
2017-07,relogios_presentes,168,36804.56,219.07476190476189
2017-07,sinalizacao_e_seguranca,6,530.19,88.36500000000001
2017-07,tablets_impressao_imagem,2,198.0,99.0
2017-07,telefonia,144,9064.86,62.95041666666667
2017-07,telefonia_fixa,9,218.73,24.30333333333333
2017-07,utilidades_domesticas,276,20874.3,75.63152173913043
2017-08,Unknown,77,5243.4,68.0961038961039
2017-08,agro_industria_e_comercio,4,88.0,22.0
2017-08,alimentos,8,364.5,45.5625
2017-08,alimentos_bebidas,15,494.81,32.98733333333333
2017-08,artes,4,244.7,61.175
2017-08,artigos_de_natal,1,58.9,58.9
2017-08,audio,7,1050.7,150.1
2017-08,automotivo,166,20421.11,123.01873493975904
2017-08,bebes,132,19982.13,151.37977272727272
2017-08,bebidas,2,119.9,59.95
2017-08,beleza_saude,360,49873.9,138.53861111111112
2017-08,brinquedos,184,18126.87,98.51559782608695
2017-08,cama_mesa_banho,512,57137.23,111.59615234375
2017-08,casa_conforto,28,4000.19,142.86392857142857
2017-08,casa_conforto_2,3,38.7,12.9
2017-08,casa_construcao,1,124.8,124.8
2017-08,cds_dvds_musicais,3,135.0,45.0
2017-08,climatizacao,15,4271.73,284.782
2017-08,consoles_games,90,8824.25,98.04722222222222
2017-08,construcao_ferramentas_construcao,7,1180.0,168.57142857142858
2017-08,construcao_ferramentas_iluminacao,2,589.0,294.5
2017-08,construcao_ferramentas_jardim,10,1286.19,128.619
2017-08,construcao_ferramentas_seguranca,1,8.9,8.9
2017-08,cool_stuff,264,41720.03,158.03041666666667
2017-08,dvds_blu_ray,6,113.39999999999999,18.9
2017-08,eletrodomesticos,49,4587.05,93.61326530612246
2017-08,eletrodomesticos_2,17,4004.55,235.56176470588235
2017-08,eletronicos,56,2854.15,50.96696428571429
2017-08,eletroportateis,36,4297.01,119.3613888888889
2017-08,esporte_lazer,425,41732.26,98.19355294117648
2017-08,fashion_bolsas_e_acessorios,99,6617.68,66.84525252525253
2017-08,fashion_calcados,22,1491.69,67.80409090909092
2017-08,fashion_esporte,2,265.8,132.9
2017-08,fashion_roupa_feminina,4,188.70000000000002,47.175000000000004
2017-08,fashion_roupa_infanto_juvenil,1,49.9,49.9
2017-08,fashion_roupa_masculina,15,1205.05,80.33666666666666
2017-08,fashion_underwear_e_moda_praia,13,1111.0,85.46153846153847
2017-08,ferramentas_jardim,238,24269.4,101.97226890756303
2017-08,industria_comercio_e_negocios,3,956.9,318.96666666666664
2017-08,informatica_acessorios,350,35025.72,100.07348571428572
2017-08,instrumentos_musicais,27,7185.55,266.1314814814815
2017-08,la_cuisine,2,313.0,156.5
2017-08,livros_importados,1,61.0,61.0
2017-08,livros_interesse_geral,29,3214.8,110.85517241379311
2017-08,livros_tecnicos,9,1196.38,132.93111111111114
2017-08,malas_acessorios,63,6833.1,108.46190476190476
2017-08,market_place,23,1937.3899999999999,84.23434782608695
2017-08,moveis_colchao_e_estofado,2,509.39,254.695
2017-08,moveis_cozinha_area_de_servico_jantar_e_jardim,7,1006.2,143.74285714285716
2017-08,moveis_decoracao,436,35511.73,81.44892201834863
2017-08,moveis_escritorio,58,9877.36,170.2993103448276
2017-08,moveis_quarto,3,618.0,206.0
2017-08,moveis_sala,23,2478.07,107.74217391304349
2017-08,papelaria,80,6366.91,79.586375
2017-08,pcs,29,33700.0,1162.0689655172414
2017-08,perfumaria,128,13142.09,102.672578125
2017-08,pet_shop,90,10500.79,116.67544444444445
2017-08,portateis_casa_forno_e_cafe,2,109.06,54.53
2017-08,relogios_presentes,212,36419.2,171.788679245283
2017-08,sinalizacao_e_seguranca,4,377.8,94.45
2017-08,tablets_impressao_imagem,6,450.89,75.14833333333333
2017-08,telefonia,136,10930.29,80.36977941176471
2017-08,telefonia_fixa,20,3343.54,167.177
2017-08,utilidades_domesticas,288,23733.94,82.40951388888888
2017-09,Unknown,74,5904.14,79.78567567567568
2017-09,agro_industria_e_comercio,4,1993.99,498.4975
2017-09,alimentos,17,992.92,58.40705882352941
2017-09,alimentos_bebidas,9,310.86,34.54
2017-09,artes,3,388.54,129.51333333333335
2017-09,artigos_de_festas,2,269.8,134.9
2017-09,artigos_de_natal,4,254.7,63.675
2017-09,audio,10,1042.5900000000001,104.25900000000001
2017-09,automotivo,108,14544.67,134.67287037037036
2017-09,bebes,174,24366.3,140.03620689655173
2017-09,bebidas,8,327.97,40.99625
2017-09,beleza_saude,380,51537.65,135.6253947368421
2017-09,brinquedos,297,31399.22,105.72127946127947
2017-09,cama_mesa_banho,533,52473.200000000004,98.44878048780488
2017-09,casa_conforto,33,4592.34,139.16181818181818
2017-09,casa_conforto_2,1,12.9,12.9
2017-09,casa_construcao,11,1357.81,123.43727272727273
2017-09,cine_foto,1,69.0,69.0
2017-09,climatizacao,8,1731.05,216.38125
2017-09,consoles_games,66,8910.37,135.00560606060608
2017-09,construcao_ferramentas_construcao,11,1289.2,117.2
2017-09,construcao_ferramentas_ferramentas,3,916.89,305.63
2017-09,construcao_ferramentas_iluminacao,1,229.0,229.0
2017-09,construcao_ferramentas_jardim,6,297.5,49.583333333333336
